ID,customerEmail,customerFirstName,customerLastName,customerCity,customerState,customerAddress,customerZIP,customerPhone,store_ID
1,,,,South Ahmed,Louisiana,,74554,1-472-912-8225,2389
2,,occaecati,,Kennaport,Virginia,2100 Kuhlman Flat Apt. 390,75988,,2407
3,,,,Jazmyneland,Ohio,,75873-2063,1-286-315-2711x0062,2357
4,antonietta48@example.org,mollitia,voluptatem,Lake Jazmyne,Indiana,07017 Antonietta Circles Apt. 251,25128,494.333.5852x099,2375
5,,voluptatum,,Christineport,SouthDakota,40344 McLaughlin Hill,37104-1259,,2407
6,rlittle@example.com,,,Lake Ashleigh,Texas,07202 Elenora Dale Suite 415,83188-0037,,2363
7,,error,,North Rickview,Massachusetts,,37613,,2376
8,,,,Lilianeside,Idaho,,91717-5098,,2383
9,cleora19@example.net,hic,quas,West Sheila,Louisiana,243 Fadel Harbors,63990,(312)654-0935,2369
10,omacejkovic@example.net,,,Lake Gust,Maryland,,41396-3390,,2370
11,,,,New Keith,Alabama,4404 Guadalupe Shoals Apt. 236,28655,,2404
12,,,,South Jasper,Louisiana,,57083,(278)266-1491x9484,2411
13,nikolaus.rose@example.org,libero,aperiam,Halvorsonburgh,Kansas,,47957,,2364
14,bergnaum.margot@example.net,,et,Lake Esteban,Illinois,35908 Araceli Ports Apt. 494,36729,,2408
15,,,deserunt,East Calefurt,Florida,904 Predovic Islands,70430-2606,1-360-533-2897,2366
16,kschmidt@example.org,,asperiores,Haleyton,Louisiana,58832 Jorge Islands Suite 868,67379,,2406
17,daija08@example.com,aut,,Hansenport,Alabama,,12069-9887,,2356
18,swillms@example.net,consequuntur,quia,Jackshire,Indiana,973 Daisha Crossroad,91131-0287,+83(2)7380407418,2383
19,celine18@example.org,numquam,accusantium,Dominicbury,Kentucky,410 Swaniawski Spurs,19917-4587,,2402
20,river67@example.net,reprehenderit,corporis,South Frederic,Arizona,5011 Hammes Viaduct,8057,(419)755-1788,2393
21,hyatt.zane@example.com,,,Lake Alexandro,Washington,,79568-5102,,2372
22,cleannon@example.net,suscipit,ipsa,Jazmynport,NewHampshire,268 Witting Road,48083-7260,,2388
23,,perspiciatis,quaerat,Hilpertland,SouthCarolina,451 Tina Drive,43447-0142,(643)851-1371x475,2375
24,lrosenbaum@example.com,,,Cruickshankfort,Hawaii,,31767-3771,,2380
25,,,quo,East Carmellamouth,District of Columbia,,41125-8071,7972867015,2405
26,,consequatur,,North Johanna,Vermont,,78062,,2353
27,,quo,,South Lelamouth,Kansas,0383 Dewayne Isle Suite 411,43058-2167,,2410
28,haag.macie@example.net,sit,,Lake Russhaven,NorthCarolina,061 Clarabelle Valleys Suite 902,51320,184.998.5488x948,2369
29,,perferendis,,South Nick,Colorado,548 Dannie Mission,27269,,2405
30,chaley@example.net,ut,,Trentonbury,Michigan,,76778-9822,,2348
31,,,,North Tyshawnberg,Alaska,87927 Gladys Green,91936-8714,,2369
32,,,,Cliffordchester,SouthCarolina,,13680,,2363
