ID,email,first_name,last_name,city,state,address,zip,phone1,storeID
1,jbutt@gmail.com,James,Butt,New Orleans,LA,6649 N Blue Gum St,70116,504-621-8927,33
2,josephine_darakjy@darakjy.org,Josephine,Darakjy,Brighton,MI,4 B Blue Ridge Blvd,48116,810-292-9388,10
3,art@venere.org,Art,Venere,Bridgeport,NJ,8 W Cerritos Ave #54,8014,856-636-8749,28
4,lpaprocki@hotmail.com,Lenna,Paprocki,Anchorage,AK,639 Main St,99501,907-385-4412,7
5,donette.foller@cox.net,Donette,Foller,Hamilton,OH,34 Center St,45011,513-570-1893,12
6,simona@morasca.com,Simona,Morasca,Ashland,OH,3 Mcauley Dr,44805,419-503-2484,28
7,mitsue_tollner@yahoo.com,Mitsue,Tollner,Chicago,IL,7 Eads St,60632,773-573-6914,30
8,leota@hotmail.com,Leota,Dilliard,San Jose,CA,7 W Jackson Blvd,95111,408-752-3500,16
9,sage_wieser@cox.net,Sage,Wieser,Sioux Falls,SD,5 Boston Ave #88,57105,605-414-2147,9
10,kris@gmail.com,Kris,Marrier,Baltimore,MD,228 Runamuck Pl #2808,21224,410-655-8723,23
11,minna_amigon@yahoo.com,Minna,Amigon,Kulpsville,PA,2371 Jerrold Ave,19443,215-874-1229,42
12,amaclead@gmail.com,Abel,Maclead,Middle Island,NY,37275 St  Rt 17m M,11953,631-335-3414,4
13,kiley.caldarera@aol.com,Kiley,Caldarera,Los Angeles,CA,25 E 75th St #69,90034,310-498-5651,17
14,gruta@cox.net,Graciela,Ruta,Chagrin Falls,OH,98 Connecticut Ave Nw,44023,440-780-8425,33
15,calbares@gmail.com,Cammy,Albares,Laredo,TX,56 E Morehead St,78045,956-537-6195,36
16,mattie@aol.com,Mattie,Poquette,Phoenix,AZ,73 State Road 434 E,85013,602-277-4385,10
17,meaghan@hotmail.com,Meaghan,Garufi,Mc Minnville,TN,69734 E Carrillo St,37110,931-313-9635,39
18,gladys.rim@rim.org,Gladys,Rim,Milwaukee,WI,322 New Horizon Blvd,53207,414-661-9598,16
19,yuki_whobrey@aol.com,Yuki,Whobrey,Taylor,MI,1 State Route 27,48180,313-288-7937,16
20,fletcher.flosi@yahoo.com,Fletcher,Flosi,Rockford,IL,394 Manchester Blvd,61109,815-828-2147,34
21,bette_nicka@cox.net,Bette,Nicka,Aston,PA,6 S 33rd St,19014,610-545-3615,42
22,vinouye@aol.com,Veronika,Inouye,San Jose,CA,6 Greenleaf Ave,95111,408-540-1785,9
23,willard@hotmail.com,Willard,Kolmetz,Irving,TX,618 W Yakima Ave,75062,972-303-9197,37
24,mroyster@royster.com,Maryann,Royster,Albany,NY,74 S Westgate St,12204,518-966-7987,33
25,alisha@slusarski.com,Alisha,Slusarski,Middlesex,NJ,3273 State St,8846,732-658-3154,35
26,allene_iturbide@cox.net,Allene,Iturbide,Stevens Point,WI,1 Central Ave,54481,715-662-6764,20
27,chanel.caudy@caudy.org,Chanel,Caudy,Shawnee,KS,86 Nw 66th St #8673,66218,913-388-2079,31
28,ezekiel@chui.com,Ezekiel,Chui,Easton,MD,2 Cedar Ave #84,21601,410-669-1642,11
29,wkusko@yahoo.com,Willow,Kusko,New York,NY,90991 Thorburn Ave,10011,212-582-4976,17
30,bfigeroa@aol.com,Bernardo,Figeroa,Conroe,TX,386 9th Ave N,77301,936-336-3951,15
31,ammie@corrio.com,Ammie,Corrio,Columbus,OH,74874 Atlantic Ave,43215,614-801-9788,32
32,francine_vocelka@vocelka.com,Francine,Vocelka,Las Cruces,NM,366 South Dr,88011,505-977-3911,5
33,ernie_stenseth@aol.com,Ernie,Stenseth,Ridgefield Park,NJ,45 E Liberty St,7660,201-709-6245,42
34,albina@glick.com,Albina,Glick,Dunellen,NJ,4 Ralph Ct,8812,732-924-7882,7
35,asergi@gmail.com,Alishia,Sergi,New York,NY,2742 Distribution Way,10025,212-860-1579,9
36,solange@shinko.com,Solange,Shinko,Metairie,LA,426 Wolf St,70002,504-979-9175,30
37,jose@yahoo.com,Jose,Stockham,New York,NY,128 Bransten Rd,10011,212-675-8570,43
38,rozella.ostrosky@ostrosky.com,Rozella,Ostrosky,Camarillo,CA,17 Morena Blvd,93012,805-832-6163,2
39,valentine_gillian@gmail.com,Valentine,Gillian,San Antonio,TX,775 W 17th St,78204,210-812-9597,28
40,kati.rulapaugh@hotmail.com,Kati,Rulapaugh,Abilene,KS,6980 Dorsett Rd,67410,785-463-7829,6
41,youlanda@aol.com,Youlanda,Schemmer,Prineville,OR,2881 Lewis Rd,97754,541-548-8197,46
42,doldroyd@aol.com,Dyan,Oldroyd,Overland Park,KS,7219 Woodfield Rd,66204,913-413-4604,5
43,roxane@hotmail.com,Roxane,Campain,Fairbanks,AK,1048 Main St,99708,907-231-4722,29
44,lperin@perin.org,Lavera,Perin,Miami,FL,678 3rd Ave,33196,305-606-7291,46
45,erick.ferencz@aol.com,Erick,Ferencz,Fairbanks,AK,20 S Babcock St,99712,907-741-1044,15
46,fsaylors@saylors.org,Fatima,Saylors,Hopkins,MN,2 Lighthouse Ave,55343,952-768-2416,35
47,jina_briddick@briddick.com,Jina,Briddick,Boston,MA,38938 Park Blvd,2128,617-399-5124,24
48,kanisha_waycott@yahoo.com,Kanisha,Waycott,Los Angeles,CA,5 Tomahawk Dr,90006,323-453-2780,24
49,emerson.bowley@bowley.org,Emerson,Bowley,Madison,WI,762 S Main St,53711,608-336-7444,41
50,bmalet@yahoo.com,Blair,Malet,Philadelphia,PA,209 Decker Dr,19132,215-907-9111,6
51,bbolognia@yahoo.com,Brock,Bolognia,New York,NY,4486 W O St #1,10003,212-402-9216,30
52,lnestle@hotmail.com,Lorrie,Nestle,Tullahoma,TN,39 S 7th St,37388,931-875-6644,21
53,sabra@uyetake.org,Sabra,Uyetake,Columbia,SC,98839 Hawthorne Blvd #6101,29201,803-925-5213,11
54,mmastella@mastella.com,Marjory,Mastella,Wayne,PA,71 San Mateo Ave,19087,610-814-5533,38
55,karl_klonowski@yahoo.com,Karl,Klonowski,Flemington,NJ,76 Brooks St #9,8822,908-877-6135,21
56,twenner@aol.com,Tonette,Wenner,Westbury,NY,4545 Courthouse Rd,11590,516-968-6051,12
57,amber_monarrez@monarrez.org,Amber,Monarrez,Jenkintown,PA,14288 Foster Ave #4121,19046,215-934-8655,35
58,shenika@gmail.com,Shenika,Seewald,Van Nuys,CA,4 Otis St,91405,818-423-4007,31
59,delmy.ahle@hotmail.com,Delmy,Ahle,Providence,RI,65895 S 16th St,2909,401-458-2547,29
60,deeanna_juhas@gmail.com,Deeanna,Juhas,Huntingdon Valley,PA,14302 Pennsylvania Ave,19006,215-211-9589,30
61,bpugh@aol.com,Blondell,Pugh,Providence,RI,201 Hawk Ct,2904,401-960-8259,15
62,jamal@vanausdal.org,Jamal,Vanausdal,Monroe Township,NJ,53075 Sw 152nd Ter #615,8831,732-234-1546,19
63,cecily@hollack.org,Cecily,Hollack,Austin,TX,59 N Groesbeck Hwy,78731,512-486-3817,9
64,carmelina_lindall@lindall.com,Carmelina,Lindall,Littleton,CO,2664 Lewis Rd,80126,303-724-7371,38
65,maurine_yglesias@yglesias.com,Maurine,Yglesias,Milwaukee,WI,59 Shady Ln #53,53214,414-748-1374,12
66,tawna@gmail.com,Tawna,Buvens,New York,NY,3305 Nabell Ave #679,10009,212-674-9610,24
67,penney_weight@aol.com,Penney,Weight,Anchorage,AK,18 Fountain St,99515,907-797-9628,6
68,elly_morocco@gmail.com,Elly,Morocco,Erie,PA,7 W 32nd St,16502,814-393-5571,32
69,ilene.eroman@hotmail.com,Ilene,Eroman,Glen Burnie,MD,2853 S Central Expy,21061,410-914-9018,40
70,vmondella@mondella.com,Vallie,Mondella,Boise,ID,74 W College St,83707,208-862-5339,34
71,kallie.blackwood@gmail.com,Kallie,Blackwood,San Francisco,CA,701 S Harrison Rd,94104,415-315-2761,33
72,johnetta_abdallah@aol.com,Johnetta,Abdallah,Chapel Hill,NC,1088 Pinehurst St,27514,919-225-9345,14
73,brhym@rhym.com,Bobbye,Rhym,San Carlos,CA,30 W 80th St #1995,94070,650-528-5783,37
74,micaela_rhymes@gmail.com,Micaela,Rhymes,Concord,CA,20932 Hedley St,94520,925-647-3298,33
75,tamar@hotmail.com,Tamar,Hoogland,London,OH,2737 Pistorio Rd #9230,43140,740-343-8575,29
76,moon@yahoo.com,Moon,Parlato,Wellsville,NY,74989 Brandon St,14895,585-866-8313,45
77,laurel_reitler@reitler.com,Laurel,Reitler,Baltimore,MD,6 Kains Ave,21215,410-520-4832,10
78,delisa.crupi@crupi.com,Delisa,Crupi,Newark,NJ,47565 W Grand Ave,7105,973-354-2040,10
79,viva.toelkes@gmail.com,Viva,Toelkes,Chicago,IL,4284 Dorigo Ln,60647,773-446-5569,39
80,elza@yahoo.com,Elza,Lipke,Newark,NJ,6794 Lake Dr E,7104,973-927-3447,10
81,devorah@hotmail.com,Devorah,Chickering,Clovis,NM,31 Douglas Blvd #950,88101,505-975-8559,39
82,timothy_mulqueen@mulqueen.org,Timothy,Mulqueen,Staten Island,NY,44 W 4th St,10309,718-332-6527,8
83,ahoneywell@honeywell.com,Arlette,Honeywell,Jacksonville,FL,11279 Loytan St,32254,904-775-4480,40
84,dominque.dickerson@dickerson.org,Dominque,Dickerson,Hayward,CA,69 Marquette Ave,94545,510-993-3758,3
85,lettie_isenhower@yahoo.com,Lettie,Isenhower,Beachwood,OH,70 W Main St,44122,216-657-7668,3
86,mmunns@cox.net,Myra,Munns,Euless,TX,461 Prospect Pl #316,76040,817-914-7518,35
87,stephaine@barfield.com,Stephaine,Barfield,Gardena,CA,47154 Whipple Ave Nw,90247,310-774-7643,41
88,lai.gato@gato.org,Lai,Gato,Evanston,IL,37 Alabama Ave,60201,847-728-7286,35
89,stephen_emigh@hotmail.com,Stephen,Emigh,Akron,OH,3777 E Richmond St #900,44302,330-537-5358,38
90,tshields@gmail.com,Tyra,Shields,Philadelphia,PA,3 Fort Worth Ave,19106,215-255-1641,46
91,twardrip@cox.net,Tammara,Wardrip,Burlingame,CA,4800 Black Horse Pike,94010,650-803-1936,19
92,cory.gibes@gmail.com,Cory,Gibes,San Gabriel,CA,83649 W Belmont Ave,91776,626-572-1096,16
93,danica_bruschke@gmail.com,Danica,Bruschke,Waco,TX,840 15th Ave,76708,254-782-8569,8
94,wilda@cox.net,Wilda,Giguere,Anchorage,AK,1747 Calle Amanecer #2,99501,907-870-5536,40
95,elvera.benimadho@cox.net,Elvera,Benimadho,San Jose,CA,99385 Charity St #840,95110,408-703-8505,13
96,carma@cox.net,Carma,Vanheusen,San Leandro,CA,68556 Central Hwy,94577,510-503-7169,31
97,malinda.hochard@yahoo.com,Malinda,Hochard,Indianapolis,IN,55 Riverside Ave,46202,317-722-5066,44
98,natalie.fern@hotmail.com,Natalie,Fern,Rock Springs,WY,7140 University Ave,82901,307-704-8713,15
99,lisha@centini.org,Lisha,Centini,Mc Lean,VA,64 5th Ave #1153,22102,703-235-3937,45
100,arlene_klusman@gmail.com,Arlene,Klusman,New Orleans,LA,3 Secor Rd,70112,504-710-5840,25
101,alease@buemi.com,Alease,Buemi,Boulder,CO,4 Webbs Chapel Rd,80303,303-301-4946,46
102,louisa@cronauer.com,Louisa,Cronauer,San Leandro,CA,524 Louisiana Ave Nw,94577,510-828-7047,1
103,angella.cetta@hotmail.com,Angella,Cetta,Honolulu,HI,185 Blackstone Bldge,96817,808-892-7943,37
104,cgoldammer@cox.net,Cyndy,Goldammer,Burnsville,MN,170 Wyoming Ave,55337,952-334-9408,19
105,rosio.cork@gmail.com,Rosio,Cork,High Point,NC,4 10th St W,27263,336-243-5659,8
106,ckorando@hotmail.com,Celeste,Korando,Lynbrook,NY,7 W Pinhook Rd,11563,516-509-2347,30
107,twana.felger@felger.org,Twana,Felger,Portland,OR,1 Commerce Way,97224,503-939-3153,25
108,estrella@aol.com,Estrella,Samu,Beloit,WI,64 Lakeview Ave,53511,608-976-7199,27
109,dkines@hotmail.com,Donte,Kines,Worcester,MA,3 Aspen St,1602,508-429-8576,7
110,tiffiny_steffensmeier@cox.net,Tiffiny,Steffensmeier,Miami,FL,32860 Sierra Rd,33133,305-385-9695,5
111,emiceli@miceli.org,Edna,Miceli,Erie,PA,555 Main St,16502,814-460-2655,40
112,sue@aol.com,Sue,Kownacki,Mesquite,TX,2 Se 3rd Ave,75149,972-666-3413,11
113,jshin@shin.com,Jesusa,Shin,Tullahoma,TN,2239 Shawnee Mission Pky,37388,931-273-8709,46
114,rolland@cox.net,Rolland,Francescon,Paterson,NJ,2726 Charcot Ave,7501,973-649-2922,2
115,pamella.schmierer@schmierer.org,Pamella,Schmierer,Homestead,FL,5161 Dorsett Rd,33030,305-420-8970,16
116,gkulzer@kulzer.org,Glory,Kulzer,Owings Mills,MD,55892 Jacksonville Rd,21117,410-224-9462,11
117,shawna_palaspas@palaspas.org,Shawna,Palaspas,Thousand Oaks,CA,5 N Cleveland Massillon Rd,91362,805-275-3566,13
118,brandon_callaro@hotmail.com,Brandon,Callaro,Honolulu,HI,7 Benton Dr,96819,808-215-6832,26
119,scarlet.cartan@yahoo.com,Scarlet,Cartan,Albany,GA,9390 S Howell Ave,31701,229-735-3378,36
120,oretha_menter@yahoo.com,Oretha,Menter,Boston,MA,8 County Center Dr #647,2210,617-418-5043,19
121,tsmith@aol.com,Ty,Smith,Hackensack,NJ,4646 Kaahumanu St,7601,201-672-1553,3
122,xuan@gmail.com,Xuan,Rochin,San Mateo,CA,2 Monroe St,94403,650-933-5072,16
123,lindsey.dilello@hotmail.com,Lindsey,Dilello,Ontario,CA,52777 Leaders Heights Rd,91761,909-639-9887,37
124,devora_perez@perez.org,Devora,Perez,Oakland,CA,72868 Blackington Ave,94606,510-955-3016,20
125,hdemesa@cox.net,Herman,Demesa,Troy,NY,9 Norristown Rd,12180,518-497-2940,20
126,rpapasergi@cox.net,Rory,Papasergi,Clarks Summit,PA,83 County Road 437 #8581,18411,570-867-7489,37
127,talia_riopelle@aol.com,Talia,Riopelle,Orange,NJ,1 N Harlem Ave #9,7050,973-245-2133,43
128,van.shire@shire.com,Van,Shire,Pittstown,NJ,90131 J St,8867,908-409-2890,38
129,lucina_lary@cox.net,Lucina,Lary,Cocoa,FL,8597 W National Ave,32922,321-749-4981,1
130,bok.isaacs@aol.com,Bok,Isaacs,Bronx,NY,6 Gilson St,10468,718-809-3762,18
131,rolande.spickerman@spickerman.com,Rolande,Spickerman,Pearl City,HI,65 W Maple Ave,96782,808-315-3077,34
132,hpaulas@gmail.com,Howard,Paulas,Denver,CO,866 34th Ave,80231,303-623-4241,14
133,kimbery_madarang@cox.net,Kimbery,Madarang,Rockaway,NJ,798 Lund Farm Way,7866,973-310-1634,9
134,thurman.manno@yahoo.com,Thurman,Manno,Absecon,NJ,9387 Charcot Ave,8201,609-524-3586,45
135,becky.mirafuentes@mirafuentes.com,Becky,Mirafuentes,Plainfield,NJ,30553 Washington Rd,7062,908-877-8409,2
136,beatriz@yahoo.com,Beatriz,Corrington,Middleboro,MA,481 W Lemon St,2346,508-584-4279,26
137,marti.maybury@yahoo.com,Marti,Maybury,Chicago,IL,4 Warehouse Point Rd #7,60638,773-775-4522,32
138,nieves_gotter@gmail.com,Nieves,Gotter,Portland,OR,4940 Pulaski Park Dr,97202,503-527-5274,13
139,lhagele@cox.net,Leatha,Hagele,Dallas,TX,627 Walford Ave,75227,214-339-1809,45
140,vklimek@klimek.org,Valentin,Klimek,Chicago,IL,137 Pioneer Way,60604,312-303-5453,8
141,melissa@cox.net,Melissa,Wiklund,Findlay,OH,61 13 Stoneridge #835,45840,419-939-3613,7
142,sheridan.zane@zane.com,Sheridan,Zane,Riverside,CA,2409 Alabama Rd,92501,951-645-3605,7
143,bulah_padilla@hotmail.com,Bulah,Padilla,Waco,TX,8927 Vandever Ave,76707,254-463-4368,19
144,audra@kohnert.com,Audra,Kohnert,Nashville,TN,134 Lewis Rd,37211,615-406-7854,9
145,dweirather@aol.com,Daren,Weirather,Milwaukee,WI,9 N College Ave #3,53216,414-959-2540,21
146,fjillson@aol.com,Fernanda,Jillson,Preston,MD,60480 Old Us Highway 51,21655,410-387-5260,37
147,gearldine_gellinger@gellinger.com,Gearldine,Gellinger,Irving,TX,4 Bloomfield Ave,75061,972-934-6914,29
148,chau@gmail.com,Chau,Kitzman,Beverly Hills,CA,429 Tiger Ln,90212,310-560-8022,39
149,theola_frey@frey.com,Theola,Frey,Massapequa,NY,54169 N Main St,11758,516-948-5768,21
150,cheryl@haroldson.org,Cheryl,Haroldson,Atlantic City,NJ,92 Main St,8401,609-518-7697,7
151,lmerced@gmail.com,Laticia,Merced,Cincinnati,OH,72 Mannix Dr,45203,513-508-7371,16
152,carissa.batman@yahoo.com,Carissa,Batman,Eugene,OR,12270 Caton Center Dr,97401,541-326-4074,25
153,lezlie.craghead@craghead.org,Lezlie,Craghead,Smithfield,NC,749 W 18th St #45,27577,919-533-3762,43
154,oshealy@hotmail.com,Ozell,Shealy,New York,NY,8 Industry Ln,10002,212-332-8435,18
155,arminda@parvis.com,Arminda,Parvis,Phoenix,AZ,1 Huntwood Ave,85017,602-906-9419,21
156,reita.leto@gmail.com,Reita,Leto,Indianapolis,IN,55262 N French Rd,46240,317-234-1135,34
157,yolando@cox.net,Yolando,Luczki,Syracuse,NY,422 E 21st St,13214,315-304-4759,24
158,lizette.stem@aol.com,Lizette,Stem,Cherry Hill,NJ,501 N 19th Ave,8002,856-487-5412,1
159,gpawlowicz@yahoo.com,Gregoria,Pawlowicz,Garden City,NY,455 N Main Ave,11530,516-212-1915,7
